Date,AAPL,ADBE,AMZN,BRK-B,CVX,DIS,GOOGL,HD,INTC,JNJ,JPM,KO,MA,META,MSFT,NFLX,NVDA,PEP,PFE,PG,PYPL,TSLA,UNH,V,XOM
2022-02-14,166.55294799804688,474.010009765625,155.16700744628906,314.2799987792969,124.3055419921875,149.66946411132812,135.37063598632812,329.3744812011719,44.46500778198242,154.18173217773438,141.90220642089844,56.2440299987793,368.57012939453125,217.25355529785156,288.1181945800781,396.57000732421875,24.230449676513672,155.40476989746094,44.49324417114258,147.17955017089844,114.12000274658203,291.9200134277344,457.7003479003906,220.98062133789062,72.4129409790039
2022-02-15,170.40907287597656,479.5,156.510498046875,316.20001220703125,123.3956298828125,153.50917053222656,136.451904296875,330.9672546386719,45.26870346069336,155.7738494873047,143.97732543945312,56.457218170166016,375.8398742675781,220.54678344726562,293.4605712890625,407.4599914550781,26.455097198486328,154.71490478515625,44.484310150146484,147.25466918945312,115.45999908447266,307.4766540527344,461.39556884765625,223.4126739501953,71.50525665283203
2022-02-16,170.17237854003906,477.70001220703125,158.10049438476562,315.6499938964844,123.43240356445312,155.12643432617188,137.58010864257812,327.997314453125,45.07246017456055,155.68075561523438,144.23788452148438,56.44794464111328,377.2090759277344,216.09593200683594,293.11798095703125,398.0799865722656,26.471071243286133,155.0319061279297,44.386024475097656,148.3720703125,110.54000091552734,307.7966613769531,463.1514587402344,224.393310546875,71.8353271484375
2022-02-17,166.55294799804688,457.7099914550781,154.65249633789062,313.54998779296875,122.79823303222656,151.75302124023438,132.38705444335938,325.9830017089844,44.455657958984375,154.73106384277344,140.91578674316406,57.57876205444336,368.11700439453125,207.2840576171875,284.53485107421875,386.6700134277344,24.4700870513916,155.45140075683594,43.68914794921875,150.0717010498047,105.19999694824219,292.1166687011719,453.78326416015625,220.26475524902344,71.72530364990234
2022-02-18,164.99473571777344,442.55999755859375,152.60150146484375,314.79998779296875,122.62361145019531,150.17547607421875,130.25350952148438,324.9804992675781,42.0912971496582,153.0725555419922,141.5764617919922,57.968048095703125,364.4230041503906,205.7372283935547,281.7945251464844,391.2900085449219,23.60638999938965,156.34634399414062,43.35857391357422,150.1467742919922,103.6500015258789,285.6600036621094,451.3423156738281,218.38189697265625,70.9276351928711
2022-02-22,162.05575561523438,438.3999938964844,150.19749450683594,314.1600036621094,121.68614196777344,146.93106079101562,129.66468811035156,296.2178649902344,41.76420593261719,150.9923553466797,141.32521057128906,57.72705841064453,362.78778076171875,201.66558837890625,281.5889892578125,377.3800048828125,23.354768753051758,156.9429931640625,42.46513366699219,148.2969512939453,103.16999816894531,273.84332275390625,446.22894287109375,217.0384063720703,70.10247039794922
2022-02-23,157.8643341064453,429.45001220703125,144.82699584960938,309.989990234375,124.58124542236328,144.7284393310547,127.44173431396484,288.98504638671875,41.726829528808594,151.06732177734375,138.3660125732422,57.087501525878906,355.8332824707031,198.04302978515625,274.2976989746094,367.4599914550781,22.353282928466797,155.39547729492188,41.87546920776367,146.44712829589844,100.72000122070312,254.67999267578125,443.4406433105469,211.77227783203125,70.3866958618164
2022-02-24,160.49752807617188,463.82000732421875,151.35800170898438,308.2799987792969,123.93790435791016,148.23080444335938,132.53887939453125,293.4727478027344,43.66130828857422,148.1812744140625,134.51345825195312,56.08646011352539,363.8615417480469,207.1742706298828,288.3126220703125,390.0299987792969,23.71223258972168,152.69195556640625,41.06243896484375,142.50328063964844,105.0199966430664,266.92333984375,439.8419494628906,213.09617614746094,69.49735260009766
2022-02-25,162.5784912109375,465.5400085449219,153.7884979248047,319.239990234375,129.02041625976562,148.3597869873047,134.30535888671875,296.66748046875,44.58649444580078,155.54629516601562,137.69601440429688,58.25539016723633,363.5758361816406,210.04835510253906,290.974609375,390.79998779296875,24.120615005493164,156.97097778320312,42.6348876953125,148.5880584716797,110.94000244140625,269.9566650390625,459.00286865234375,215.02806091308594,71.36772918701172
2022-02-28,162.8447265625,467.67999267578125,153.56300354003906,321.45001220703125,132.34747314453125,147.2981719970703,134.9021759033203,295.8992919921875,44.5771598815918,154.2063446044922,131.9544219970703,57.68999481201172,355.429443359375,210.59722900390625,292.42315673828125,394.5199890136719,24.3482723236084,152.64535522460938,41.93800735473633,146.38137817382812,111.93000030517578,290.1433410644531,459.11859130859375,211.93898010253906,71.89949035644531
2022-03-01,160.951171875,466.67999267578125,151.14199829101562,316.8399963378906,137.6046142578125,144.5597686767578,133.90780639648438,300.0404052734375,43.7547721862793,153.6722412109375,126.97589111328125,57.43973159790039,339.3335266113281,203.07269287109375,288.6650085449219,386.239990234375,23.441640853881836,151.27493286132812,40.874813079833984,143.95877075195312,106.51000213623047,288.1233215332031,459.4851989746094,204.9272918701172,72.58715057373047
2022-03-02,164.26490783691406,471.17999267578125,152.05250549316406,323.6400146484375,141.6669464111328,146.18692016601562,134.417236328125,306.7110595703125,45.670555114746094,155.58375549316406,129.60940551757812,57.86610412597656,338.9493408203125,207.6832275390625,293.7932434082031,380.0299987792969,24.187639236450195,153.3724822998047,42.61702346801758,144.40943908691406,106.61000061035156,293.2966613769531,468.2938537597656,204.44679260253906,73.83406066894531
2022-03-03,163.93946838378906,459.0799865722656,147.89849853515625,327.739990234375,143.57864379882812,144.4307861328125,133.74600219726562,303.8909606933594,44.79209518432617,157.87010192871094,128.6881103515625,57.90318298339844,335.8956298828125,202.5537567138672,289.6142883300781,368.07000732421875,23.68231773376465,153.20828247070312,42.73317337036133,144.94471740722656,101.33999633789062,279.7633361816406,469.46124267578125,203.22096252441406,74.3016586303711
2022-03-04,160.921630859375,452.1300048828125,145.64100646972656,325.3399963378906,145.81199645996094,139.61874389648438,131.75527954101562,303.79730224609375,44.92292785644531,158.80712890625,125.06822204589844,57.9958610534668,325.8185119628906,199.64971923828125,283.6833801269531,361.7300109863281,22.905357360839844,155.53543090820312,43.465789794921875,145.67713928222656,99.91000366210938,279.42999267578125,481.0967712402344,196.4152374267578,77.0980453491211
2022-03-07,157.10494995117188,437.9700012207031,137.4530029296875,322.7200012207031,148.92764282226562,132.4552459716797,126.23362731933594,302.4013366699219,44.5584602355957,161.365234375,120.23857879638672,56.61478805541992,308.2450256347656,187.08555603027344,272.96673583984375,350.260009765625,21.32347297668457,152.43881225585938,42.867183685302734,143.51742553710938,93.61000061035156,268.1933288574219,469.73138427734375,187.01075744628906,79.87610626220703
2022-03-08,155.27056884765625,431.5299987792969,136.01449584960938,318.5199890136719,156.7306365966797,130.71893310546875,126.95879364013672,296.7518615722656,44.39024353027344,158.0950164794922,119.39176940917969,54.371700286865234,309.63397216796875,189.89974975585938,269.971923828125,341.760009765625,21.485252380371094,148.14105224609375,42.38472366333008,137.83644104003906,94.9000015258789,274.79998779296875,456.7934265136719,188.00123596191406,80.4812240600586
2022-03-09,160.7046356201172,450.8699951171875,139.2790069580078,325.3999938964844,152.81536865234375,132.60406494140625,133.2670440673828,298.9762878417969,44.51173400878906,158.6947021484375,124.17486572265625,54.64977264404297,323.227783203125,198.0929412841797,282.3523864746094,358.7900085449219,22.983253479003906,147.6999969482422,43.55513000488281,139.6956787109375,100.22000122070312,286.3233337402344,468.4771728515625,195.89547729492188,75.90614318847656
2022-03-10,156.335693359375,438.95001220703125,146.8175048828125,325.29998779296875,156.99722290039062,132.59414672851562,132.27769470214844,299.67376708984375,43.60523986816406,158.97579956054688,122.70458221435547,53.64872360229492,319.74066162109375,194.8096923828125,279.5044250488281,356.7699890136719,22.627731323242188,144.9881134033203,43.957176208496094,136.09930419921875,98.55000305175781,279.4333190917969,474.1405334472656,194.14013671875,78.26245880126953
2022-03-11,152.59791564941406,416.3800048828125,145.52450561523438,326.6000061035156,157.07070922851562,130.71893310546875,129.72161865234375,298.58984375,42.82958221435547,158.68533325195312,119.94078826904297,53.685791015625,319.93768310546875,187.2252655029297,274.10198974609375,340.32000732421875,22.070472717285156,144.2561798095703,44.91315841674805,134.48422241210938,96.56999969482422,265.1166687011719,467.2508544921875,192.90451049804688,77.85903930664062
2022-03-14,148.5445556640625,411.5,141.85299682617188,329.9800109863281,153.2289581298828,128.0202178955078,125.80661010742188,300.06964111328125,41.49319839477539,160.8779754638672,121.13192749023438,54.67583084106445,323.680908203125,186.2472686767578,270.54937744140625,331.010009765625,21.301504135131836,146.2830810546875,46.682167053222656,136.2025909423828,96.87000274658203,255.4566650390625,472.13751220703125,196.4544677734375,75.0718002319336
2022-03-15,152.95294189453125,421.6600036621094,147.3665008544922,332.54998779296875,145.47190856933594,133.14976501464844,129.0498809814453,309.6647644042969,41.87636184692383,165.04769897460938,123.2815170288086,55.684532165527344,329.9951477050781,191.63619995117188,281.03118896484375,343.75,22.942306518554688,149.20140075683594,46.64643478393555,141.10418701171875,100.45999908447266,267.2966613769531,481.8043212890625,202.15208435058594,70.79927825927734
2022-03-16,157.39097595214844,442.3599853515625,153.10400390625,336.1099853515625,144.9480743408203,137.05892944335938,133.12771606445312,311.8985900878906,43.577213287353516,163.52975463867188,128.79046630859375,55.53510284423828,339.530517578125,203.21241760253906,288.11688232421875,357.5299987792969,24.463272094726562,149.85829162597656,47.280765533447266,140.6252899169922,107.91999816894531,280.07666015625,482.1430358886719,207.77120971679688,70.53339385986328
2022-03-17,158.40676879882812,444.3599853515625,157.23899841308594,344.9700012207031,147.4571533203125,138.37852478027344,133.68557739257812,317.03546142578125,44.05380630493164,165.66616821289062,130.41896057128906,56.12351989746094,341.26422119140625,207.41378784179688,288.92919921875,371.3999938964844,24.73291015625,151.0218963623047,48.46010971069336,141.06661987304688,112.16000366210938,290.5333251953125,490.61962890625,209.32064819335938,72.4129409790039
